state_code,zip_code,city,name,labels,founded_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,has_RoundABCD,has_Investor,has_Seed
CA,94954,Petaluma,Dilithium Networks,0,1/1/2001,4/23/2003,6/3/2010,2.3068,9.4247,12,7,98170000,3,mobile,1,0,0,1,1,1,5.2,1,1,1,0
CA,94107,San Francisco,Yobongo,1,1/1/2010,3/23/2011,3/23/2011,1.2219,1.2219,2,1,1350000,3,web,0,1,0,0,0,0,10.0,1,0,1,1
IL,60601,Chicago,Brickfish,1,11/1/2005,7/16/2010,7/16/2010,4.7068,4.7068,17,1,940261,2,software,0,0,1,0,0,0,1.0,1,1,0,0
MA,2109,Boston,MyEnergy,1,6/4/2007,2/1/2009,2/3/2011,1.6658,3.6712,12,2,4000000,3,web,0,1,1,0,0,0,3.0,1,1,1,0
CA,94085,Sunnyvale,LikeList,0,1/1/2008,12/15/2009,12/15/2009,1.9562,1.9562,5,1,5000000,1,web,0,0,1,0,0,0,1.0,0,1,0,0
VA,22201,Arlington,Social Collective,0,4/17/2009,4/18/2009,4/18/2009,0.0027,0.0027,3,1,20000,1,web,0,1,0,0,0,0,1.0,0,0,1,1
WA,98101,Seattle,Pure Networks,1,1/1/2002,1/11/2006,1/11/2006,4.0301,4.0301,5,1,12500000,1,network_hosting,0,0,0,1,0,0,3.0,1,1,0,0
CO,80112,Centennial,Internet Pawn,0,1/1/2009,5/5/2010,8/27/2013,1.3397,4.6548,0,5,7228704,2,finance,1,0,1,0,0,0,2.0,1,1,1,0
IL,60631,Chicago,NeuroTherapeutics Pharma,0,1/1/2006,5/20/2010,12/15/2011,4.3836,5.9562,5,2,55000000,1,biotech,1,0,0,1,0,0,4.0,1,1,1,0
CA,94404,San Mateo,Provade,1,1/1/2004,1/23/2006,8/11/2010,2.063,6.6137,5,4,15180000,0,enterprise,1,0,1,0,1,0,1.0,1,1,1,0
CA,95134,San Jose,Infineta Systems,0,1/1/2008,5/7/2010,6/6/2011,2.3479,3.4301,4,2,30000000,2,software,0,0,1,1,0,0,2.5,1,1,0,0
TX,78701,Austin,Challenge Games,1,1/1/2006,7/10/2008,9/1/2008,2.5233,2.6685,11,2,14500000,3,network_hosting,0,0,1,1,0,0,1.5,1,1,0,0
CA,94114,San Francisco,Crowd Factory,1,1/1/2009,1/26/2011,1/26/2011,2.0685,2.0685,6,1,6500000,3,advertising,1,0,0,0,0,0,3.0,1,0,1,1
TN,38103-4717,Memphis,Friendsignia,0,1/29/2012,1/29/2012,1/29/2012,0.0,0.0,2,1,15000,1,web,0,1,0,0,0,0,1.0,0,0,1,1
NY,10013,New York,Vizibility,1,7/1/2009,3/24/2010,2/6/2013,0.7288,3.6055,5,5,4705910,3,mobile,1,1,0,0,0,0,3.0,1,0,1,1
CA,94010-4031,Burlingame,OpenFeint,1,1/1/2008,10/21/2010,10/21/2010,2.8055,2.8055,6,1,3000000,2,games_video,1,0,0,0,0,0,1.0,1,0,1,1
NY,10016,New York,Tumblr,1,2/1/2007,10/31/2007,1/1/2012,0.7452,4.9178,30,6,125250000,5,web,1,0,1,1,1,1,3.5,1,1,1,0
NY,10013,New York,Hotlist,0,1/1/2008,5/1/2008,1/1/2012,0.3315,4.0027,8,4,1449998,3,social,1,1,0,0,0,0,1.0,1,0,1,1
MA,2139,Cambridge,Crashlytics,1,2/1/2011,10/13/2011,4/10/2012,0.6959,1.189,5,2,6000000,3,mobile,0,1,1,0,0,0,6.0,1,1,1,0
MN,55441,Plymouth,BridgePoint Medical,1,1/1/2005,1/23/2007,3/25/2011,2.0603,6.2301,7,3,28200000,0,medical,1,0,0,1,1,0,3.0,1,1,1,0
CA,94104,San Francisco,Recurve,1,8/1/2005,9/23/2008,6/17/2010,3.1479,4.8795,5,2,14000000,1,software,1,0,1,0,0,0,2.0,1,1,1,0
TX,78730,Austin,Conformity,0,7/1/2007,1/28/2009,1/28/2009,1.5808,1.5808,14,1,3000000,2,enterprise,0,0,1,0,0,0,1.0,0,1,0,0
WA,98104,Seattle,Moprise,0,1/1/2010,7/8/2011,10/7/2011,1.5151,1.7644,6,2,2238055,1,enterprise,1,1,0,0,0,0,1.0,1,0,1,1
CA,94108,San Francisco,Plizy,0,9/1/2010,5/19/2011,12/13/2012,0.7123,2.2849,5,2,5200000,2,photo_video,1,0,1,0,0,0,1.0,1,1,1,0
PA,19428,Conshohocken,ShopRunner,1,1/1/2010,8/19/2013,8/19/2013,3.6329,3.6329,4,1,75000000,4,ecommerce,1,0,0,0,0,0,1.0,0,0,1,1
MA,2494,Needham,RatePoint,0,9/1/2006,1/29/2007,8/20/2010,0.411,3.9699,13,4,24500000,4,software,0,0,1,1,1,0,2.5,1,1,0,0
CA,92660,Newport Beach,Digital Performance,0,1/1/2002,11/27/2006,2/5/2010,4.9068,8.1014,3,3,4476171,0,advertising,1,0,1,0,0,0,2.0,1,1,1,0
TX,78701,Austin,Gowalla,1,8/28/2007,2/27/2008,1/28/2010,0.5014,2.4219,21,3,10400001,3,web,0,0,1,1,0,0,6.0,1,1,0,0
CO,80501,Longmont,Copan Systems,1,1/1/2002,3/8/2006,2/17/2009,4.1836,7.1342,8,3,68400000,1,network_hosting,1,0,0,0,1,1,6.5,1,1,1,0
CA,94063,Redwood City,Replay Solutions,1,1/1/2004,12/5/2006,8/18/2008,2.9288,4.6329,13,2,15200000,0,software,0,0,1,1,0,0,2.0,1,1,0,0
NY,10012,New York,Turf Geography Club,0,1/1/2011,8/15/2011,8/2/2012,0.6192,1.5863,2,2,890000,0,mobile,0,1,0,0,0,0,3.0,1,0,1,1
CA,94108,San Francisco,skyrockit,0,1/1/2001,7/12/2011,7/12/2011,10.5315,10.5315,0,1,2600000,0,mobile,1,0,0,0,0,0,1.0,1,0,1,1
IL,60563,Naperville,Cartavi,1,1/1/2009,11/13/2012,11/13/2012,3.8685,3.8685,7,1,1226270,2,enterprise,0,1,0,0,0,0,1.0,1,0,1,1
CA,91101,Pasadena,Cramster,1,1/1/2002,9/25/2008,4/14/2010,6.737,8.2877,5,2,9000000,1,web,0,0,1,1,0,0,1.0,0,1,0,0
CA,95128,San Jose,Certify Data Systems,1,1/1/2004,8/25/2008,2/15/2012,4.6521,8.1288,4,4,7210210,1,enterprise,1,0,1,1,0,0,1.0,0,1,1,0
CA,94103,San Francisco,Wheelz,1,1/1/2011,9/28/2011,2/22/2012,0.7397,1.1425,15,2,15700000,1,automotive,0,0,1,0,0,0,3.0,1,1,0,0
MA,2451,Waltham,CentrePath,1,1/1/2000,9/6/2005,4/24/2006,5.6849,6.3151,4,2,15050000,1,software,1,0,0,0,1,0,2.5,1,1,1,0
CA,94111,San Francisco,VoxPop Network Corporation,1,8/1/2006,5/1/2007,5/1/2009,0.7479,2.7507,5,2,3500000,2,games_video,0,0,1,1,0,0,3.0,1,1,0,0
CA,95035,Milpitas,OpVista,0,1/1/2000,6/22/2006,5/7/2007,6.4767,7.3507,2,2,43000000,1,software,0,0,0,0,1,1,1.0,1,1,0,0
CA,94105,San Francisco,Metaweb Technologies,1,1/1/2005,3/1/2006,1/15/2008,1.1616,3.0384,7,2,57000000,2,web,0,0,1,1,0,0,3.5,1,1,0,0
CA,94105,San Francisco,DocVerse,1,9/1/2007,7/23/2008,7/23/2008,0.8932,0.8932,8,1,1300000,4,web,0,1,0,0,0,0,4.0,1,0,1,1
CA,92121,San Diego,Veoh,1,1/1/2004,7/1/2005,6/3/2008,1.4986,4.4247,15,4,69750000,4,games_video,0,0,1,1,1,1,5.0,1,1,0,0
MA,2118,Boston,BzzAgent,1,1/1/2001,1/1/2004,1/1/2006,3.0,5.0027,16,2,14500000,2,advertising,0,1,0,1,0,0,2.0,1,1,1,0
CA,94043,Mountain View,Hammerhead Systems,0,1/1/2002,1/31/2006,8/1/2007,4.0849,5.5836,2,2,48000000,0,hardware,0,0,0,0,1,1,6.0,1,1,0,0
PA,15218,Pittsburgh,ThermalTherapeuticSystems,0,6/1/2006,12/1/2009,11/9/2011,3.5041,5.4438,3,2,3508462,0,medical,1,0,1,0,0,0,3.0,1,1,1,0
CA,94404,San Mateo,GuardianEdge Technologies,1,1/1/2002,6/6/2005,7/23/2007,3.4301,5.5589,10,3,19500000,1,software,0,0,1,1,0,0,3.3333,1,1,0,0
CA,90405,Santa Monica,Gradient X,1,1/1/2012,6/20/2012,6/20/2012,0.4685,0.4685,5,1,3750000,3,mobile,0,0,0,0,0,0,9.0,1,0,0,0
IL,60555,Warrenville,ezzai - how to arabia,0,8/1/2010,8/1/2010,8/1/2010,0.0,0.0,1,1,45000000,0,web,0,0,0,0,0,0,2.0,0,0,0,0
NC,27607,Raleigh,rPath,0,4/1/2005,1/24/2006,10/22/2010,0.8164,5.5616,8,4,32500000,3,enterprise,0,0,1,1,1,1,2.75,1,1,0,0
PA,19312,Berwyn,Boomi,1,3/1/2000,1/1/2002,7/1/2008,1.8384,8.3397,4,2,4900000,5,enterprise,0,1,0,1,0,0,1.5,1,1,1,0
CA,94086,Sunnyvale,VoloMedia,0,1/1/2005,4/20/2007,3/18/2008,2.2986,3.2110000000000003,4,2,12000000,3,advertising,0,0,0,1,1,0,2.0,1,1,0,0
CA,94103,San Francisco,Flixster,1,1/20/2006,2/1/2006,4/4/2008,0.0329,2.2055,12,3,7175000,6,web,0,1,1,1,0,0,2.6667,1,1,1,0
CA,94104,San Francisco,Wesabe,0,12/1/2005,2/1/2007,6/1/2007,1.1699,1.4986,3,2,4700000,4,web,0,1,1,0,0,0,1.5,1,1,1,0
CA,95037,Morgan Hill,OfferLounge,0,1/1/2008,1/1/2008,1/1/2008,0.0,0.0,3,1,120000,0,public_relations,0,1,0,0,0,0,2.0,0,0,1,1
CA,94041,Mountain View,NeoEdge Networks,1,5/2/2002,6/8/2007,12/20/2010,5.1041,8.6411,10,3,10000000,2,advertising,1,0,0,1,0,0,1.6667,0,1,1,0
TX,78729,Austin,SemiSouth Laboratories,0,7/1/2000,6/14/2005,10/22/2010,4.9562,10.3151,0,4,39000000,0,semiconductor,1,0,1,0,0,0,3.0,0,1,1,0
MA,01752-4603,Marlborough,Camiant,1,1/1/2003,3/29/2005,1/11/2007,2.2411,4.0301,3,2,16100000,0,software,0,0,0,1,1,0,2.5,1,1,0,0
CA,94115,San Francisco,NuConomy,1,1/1/2006,4/1/2007,2/1/2008,1.2466,2.0849,4,2,3300000,3,advertising,0,1,1,0,0,0,2.0,1,1,1,0
CA,94110,San Francisco,Flowtown,1,2/1/2009,8/25/2010,8/25/2010,1.5616,1.5616,6,1,750000,3,analytics,0,1,0,0,0,0,9.0,1,0,1,1
GA,30308,Atlanta,GlobalCrypto,0,6/1/2006,11/11/2008,11/11/2008,2.4493,2.4493,0,2,1000000,0,software,1,1,0,0,0,0,2.0,0,0,1,1
NY,10154,New York,Bioenvision,0,1/1/1996,4/30/2007,4/30/2007,11.3342,11.3342,3,1,7410000,0,biotech,1,0,0,0,0,0,3.0,1,0,1,1
CA,95134,San Jose,Teranetics,1,1/1/2000,11/21/2006,5/27/2010,6.8932,10.4082,5,3,52800000,0,semiconductor,1,0,0,0,1,0,5.3333,1,1,1,0
CA,90094,Playa Vista,WebVisible,0,1/1/2001,9/1/2005,2/11/2010,4.6685,9.1178,33,3,37000000,4,software,0,0,1,1,1,0,1.3333,1,1,0,0
CA,94111,San Francisco,GoodGuide,1,12/1/2007,1/19/2009,8/26/2011,1.137,3.737,14,3,14229998,3,web,0,0,1,1,0,0,3.0,1,1,0,0
CA,95014,Cupertino,ViVu,1,1/1/2009,9/21/2009,6/9/2011,0.7205,2.4356,7,2,3000000,2,messaging,0,0,1,1,0,0,2.5,1,1,0,0
NY,10013,New York,avVenta,1,1/1/2005,1/14/2009,1/14/2009,4.0384,4.0384,10,1,20000000,1,advertising,0,0,1,0,0,0,1.0,0,1,0,0
RI,2906,Providence,DiJiPOP,1,11/1/2008,8/1/2009,12/6/2010,0.7479,2.0959,6,2,2000000,3,advertising,0,1,0,0,0,0,1.5,1,0,1,1
DC,20005,Washington,Layer 7 Technologies,1,1/1/2003,10/26/2006,2/2/2009,3.8192,6.0932,3,2,19900000,2,software,1,0,0,1,0,0,2.0,1,1,1,0
CA,94107,San Francisco,DeliveryEdge,0,9/1/2006,12/1/2007,12/1/2007,1.2493,1.2493,6,1,1500000,1,ecommerce,0,0,0,0,0,0,1.0,0,0,0,0
CA,94105,San Francisco,Solmentum,0,7/1/2009,7/1/2009,7/1/2009,0.0,0.0,4,1,325000,1,cleantech,0,1,0,0,0,0,4.0,0,0,1,1
CA,94105,San Francisco,Pipewise,0,9/1/2010,2/17/2011,2/17/2011,0.463,0.463,16,1,3500000,2,enterprise,0,0,1,0,0,0,5.0,1,1,0,0
WA,98104,Seattle,GridNetworks,0,1/1/2004,1/1/2006,5/20/2008,2.0027,4.3863,7,4,30000000,2,network_hosting,0,1,1,1,0,0,2.0,1,1,1,0
CA,94043-1107,Mountain View,MAP Pharmaceuticals,1,1/1/2003,3/28/2007,3/28/2007,4.2384,4.2384,1,1,50000000,0,biotech,0,0,0,0,0,1,6.0,1,1,0,0
NY,10016,New York,"ORCA, Inc.",1,1/1/2008,6/21/2009,6/21/2009,1.4712,1.4712,5,1,2000000,2,ecommerce,0,0,1,0,0,0,3.0,1,1,0,0
CA,94065,Redwood City,Amobee,1,5/1/2005,11/1/2006,3/1/2011,1.5041,5.8356,25,6,72000000,2,advertising,1,0,1,1,1,1,2.3333,1,1,1,0
CA,91754,Monterey Park,KOTURA,1,1/1/2004,9/7/2005,11/5/2009,1.6849,5.8493,4,3,27690547,1,cleantech,0,0,0,1,1,1,4.5,1,1,0,0
TX,75023,Plano,Auvitek International,0,3/1/2004,5/9/2006,5/9/2006,2.189,2.189,32,1,9000000,0,semiconductor,0,0,0,1,0,0,4.0,1,1,0,0
CA,94041,Mountain View,Outright,1,6/1/2008,11/1/2008,11/18/2009,0.4192,1.4658,12,2,7500000,3,enterprise,0,0,1,0,0,0,3.5,1,1,0,0
TX,78701,Austin,Phurnace Software,1,1/1/2007,9/11/2007,7/1/2008,0.6932,1.4986,9,2,10000000,1,software,0,0,1,0,0,0,2.0,1,1,0,0
CA,91105,Pasadena,FastSoft,1,1/1/2006,6/11/2007,9/4/2012,1.4411,6.6795,7,4,5965000,1,software,1,0,1,0,0,0,1.0,0,1,1,0
CA,94538,Fremont,GrandCentral,1,4/1/2006,1/1/2006,1/1/2006,-0.2466,-0.2466,9,1,4000000,4,mobile,0,0,1,0,0,0,1.0,0,1,0,0
MI,48025,Bingham Farms,Speedshape,0,1/1/2003,2/20/2008,2/20/2008,5.1397,5.1397,2,1,5000000,1,advertising,1,0,0,0,0,0,1.0,0,0,1,1
CA,95128,San Jose,BlueLithium,1,1/1/2004,2/1/2005,2/1/2005,1.0877,1.0877,15,1,11500000,2,advertising,0,0,1,0,0,0,2.0,1,1,0,0
IL,60657,Chicago,Media Chaperone,0,1/1/2009,1/14/2010,2/24/2011,1.0356,2.1479,2,2,1050000,1,web,1,0,0,0,0,0,1.0,0,0,1,1
NY,10036,New York,Giant Realm,1,1/1/2007,3/1/2008,5/8/2008,1.1644,1.3507,13,2,5500000,2,web,0,0,1,0,0,0,2.0,1,1,0,0
PA,10011,Philadelphia,Invite Media,1,2/1/2007,12/1/2007,12/1/2009,0.8301,2.8329,17,3,5000000,4,advertising,0,1,1,0,0,0,1.6667,1,1,1,0
CA,94043,Mountain View,UpMo,0,1/1/2011,12/13/2009,8/17/2011,-1.0521,0.6247,11,2,3700000,3,enterprise,1,0,0,0,0,0,3.0,0,0,1,1
CA,95019-2901,Freedom,Appscio,0,1/1/2006,3/20/2007,1/3/2009,1.2137,3.0082,4,2,7000000,0,software,0,0,1,0,0,0,2.0,0,1,0,0
MA,2129,Boston,Eons,0,1/1/2005,4/1/2006,3/1/2007,1.2466,2.1616,14,2,32000000,4,network_hosting,0,0,1,1,0,0,3.5,1,1,0,0
MA,2142,Cambridge,LocaModa,1,1/1/2007,9/18/2007,3/25/2011,0.7123,4.2301,8,3,7900000,2,advertising,0,0,1,0,0,0,2.0,0,1,0,0
CA,94110,San Francisco,Meraki,1,4/1/2006,12/1/2006,7/10/2012,0.6685,6.2795,16,5,80000000,3,network_hosting,0,1,1,1,1,1,2.25,1,1,1,0
TX,78701,Austin,MPOWER Mobile,0,1/1/2005,10/28/2009,10/28/2009,4.8247,4.8247,1,1,5000000,1,mobile,1,0,0,0,0,0,1.0,1,0,1,1
WA,98109,Seattle,Haute Secure,1,1/1/2006,1/1/2007,3/9/2009,1.0,3.1863,5,2,2100000,3,security,0,1,1,0,0,0,1.5,1,1,1,0
MD,20814,Bethesda,Intelliworks,1,12/1/2004,2/14/2005,4/24/2009,0.2055,4.3973,6,4,22250000,1,enterprise,0,0,1,1,1,1,2.5,1,1,0,0
OR,97209,Portland,Meridian,1,3/1/2011,9/14/2011,8/30/2012,0.5397,1.5014,6,2,1975000,2,enterprise,1,1,0,0,0,0,3.0,0,0,1,1
NY,10016,New York,Kluster,1,1/1/2008,1/1/2008,1/1/2008,0.0,0.0,0,1,1000000,2,web,0,1,0,0,0,0,1.0,1,0,1,1
PA,18106,Allentown,International Battery,0,1/1/2008,5/6/2010,5/6/2010,2.3452,2.3452,0,1,35000000,0,cleantech,0,0,0,0,1,0,1.0,0,1,0,0
NY,10016,New York,Jingle Networks,1,9/1/2005,10/1/2005,12/28/2009,0.0822,4.3260000000000005,12,7,88651133,5,mobile,1,1,1,1,1,1,3.1667,1,1,1,0
MA,01862-2000,North Billerica,SemEquip,1,1/1/2000,8/4/2005,8/4/2005,5.5945,5.5945,3,1,26000000,0,semiconductor,1,0,0,0,0,0,2.0,1,0,1,1
CA,90017,Los Angeles,ItsGoinOn,0,5/1/2010,1/1/2011,1/1/2011,0.6712,0.6712,3,1,100000,2,games_video,0,1,0,0,0,0,1.0,0,0,1,1
CO,80202,Denver,mSnap,1,6/1/2005,6/1/2006,6/1/2006,1.0,1.0,6,1,5000000,3,mobile,0,0,1,0,0,0,1.0,1,1,0,0
GA,30097,Duluth,Biofisica,0,1/1/2000,10/31/2006,4/21/2008,6.8356,8.3096,5,2,7300000,0,biotech,1,0,1,0,0,0,3.0,1,1,1,0
CA,94043,Mountain View,Ardian,1,1/1/2003,1/1/2005,3/23/2009,2.0027,6.2274,8,3,64080000,2,biotech,0,0,1,1,1,0,4.0,1,1,0,0
RI,2903,Providence,Tracelytics,1,7/1/2010,11/3/2011,3/22/2012,1.3425,1.726,8,2,5800000,2,enterprise,0,1,1,0,0,0,4.0,1,1,1,0
CA,94105,San Francisco,Canopy Financial,0,1/1/2004,1/1/2008,10/1/2009,4.0027,5.7534,6,4,89500000,2,finance,0,0,0,1,1,0,1.0,1,1,0,0
CA,94102,San Francisco,Kyte,1,12/1/2006,7/1/2007,3/1/2012,0.5808,5.2521,11,4,23350000,2,games_video,0,1,1,1,0,0,3.0,1,1,1,0
MA,2451,Waltham,Ounce Labs,1,10/1/2002,6/8/2006,9/16/2008,3.6877,5.9644,7,2,13500000,0,software,1,0,0,0,1,0,2.5,1,1,1,0
MA,1719,Boxborough,Crossbeam Systems,1,1/1/2000,5/8/2007,2/14/2008,7.3534,8.126,13,2,24500000,2,security,0,0,0,0,0,0,5.5,1,0,0,0
CA,94065,Redwood City,PacketHop,0,1/1/2002,8/8/2005,8/8/2005,3.6027,3.6027,2,1,10000000,1,public_relations,0,0,0,0,1,0,4.0,1,1,0,0
UT,84124,Salt Lake City,Inaura,0,1/1/2007,1/6/2005,1/6/2005,-1.9863,-1.9863,3,1,8500000,0,other,1,0,0,0,0,0,1.0,0,0,1,1
TX,77380,The Woodlands,DynaPump,0,1/1/1992,5/29/2008,5/29/2008,16.4192,16.4192,0,1,6000000,0,cleantech,0,0,0,1,0,0,3.0,0,1,0,0
CA,94306,Palo Alto,Immunet Corporation,1,7/1/2008,11/1/2009,11/1/2009,1.337,1.337,3,1,2000000,1,software,0,0,1,0,0,0,2.0,1,1,0,0
TX,78701,Austin,CopperEgg Corporation,1,6/1/2010,7/12/2011,5/8/2012,1.1123,1.937,3,2,4100000,2,enterprise,0,0,1,0,0,0,1.5,1,1,0,0
CA,94041,Mountain View,Wink,1,8/19/2004,1/1/2005,1/1/2005,0.3699,0.3699,5,1,6200000,4,search,0,0,1,0,0,0,2.0,1,1,0,0
CA,94103,San Francisco,PopularMedia,1,1/1/2003,2/1/2007,7/28/2008,4.0877,5.5753,8,2,12250000,1,advertising,0,0,0,1,1,0,2.5,1,1,0,0
CA,94105,San Francisco,Miyowa,1,4/14/2003,9/4/2006,5/8/2008,3.3945,5.0712,3,2,11725600,2,mobile,0,0,1,1,0,0,2.0,1,1,0,0
MA,1803,Burlington,Intrusic,0,1/1/2001,4/25/2005,10/30/2006,4.3151,5.8301,1,2,16000000,0,software,0,0,1,1,0,0,3.0,1,1,0,0
WA,98103,Seattle,Dashwire,1,8/11/2006,1/31/2009,12/28/2010,2.4767,4.3836,10,3,5056559,2,mobile,1,0,1,0,0,0,1.6667,1,1,1,0
CA,94107,San Francisco,Reddit,1,1/1/2005,6/1/2005,6/1/2005,0.4137,0.4137,9,1,100000,3,web,0,1,0,0,0,0,1.0,1,0,1,1
CA,94108,San Francisco,Pure Digital Technologies,1,9/1/2001,1/1/2004,8/18/2008,2.3342,6.9671,11,3,68200000,3,hardware,1,1,0,0,0,0,4.0,1,0,1,1
CA,94501,Alameda,Voxify,1,1/1/2001,2/1/2005,4/21/2010,4.0877,9.3068,5,3,33000000,1,enterprise,1,0,0,1,0,1,3.6667,1,1,1,0
NC,27701,Durham,EvoApp,0,1/1/2009,10/15/2010,4/20/2012,1.7863,3.3014,8,3,3352194,2,analytics,0,1,1,0,0,0,9.5,0,1,1,0
NY,10001,New York,Visual Revenue,1,3/1/2010,7/28/2011,1/26/2012,1.4082,1.9068,5,2,2212000,2,analytics,0,1,1,0,0,0,3.0,1,1,1,0
CA,94063,Redwood City,Calibra Medical,1,1/1/2004,11/24/2009,4/15/2011,5.9014,7.2904,1,4,19800000,0,biotech,1,0,0,0,0,1,5.0,1,1,1,0
CA,94401,San Mateo,Offermatic,0,2/1/2010,12/1/2010,3/9/2011,0.8301,1.0986,6,2,4500000,2,web,0,1,1,0,0,0,3.0,1,1,1,0
MA,2494,Needham,HiWired,1,1/1/2004,1/1/2008,1/2/2008,4.0027,4.0055,2,2,14000000,1,software,1,0,0,1,0,0,1.5,1,1,1,0
FL,33327,Weston,DateMyFamily.com,0,11/11/2011,12/1/2011,12/1/2011,0.0548,0.0548,4,1,100000,2,social,0,1,0,0,0,0,1.0,0,0,1,1
CA,94304,Palo Alto,Hyperic,1,1/1/2004,5/10/2006,6/5/2007,2.3562,3.4274,4,2,9900000,2,software,0,0,1,1,0,0,2.0,1,1,0,0
CA,94104,San Francisco,Optimal,1,1/1/2008,1/1/2008,1/22/2013,0.0,5.063,10,3,7600000,2,advertising,0,0,1,1,0,0,5.0,1,1,0,0
CA,93101,Santa Barbara,SendMeHome.com,0,7/1/2008,7/1/2008,7/1/2008,0.0,0.0,2,1,50000,1,games_video,0,1,0,0,0,0,2.0,0,0,1,1
CA,94301,Palo Alto,Q-magic,0,2/1/2007,1/1/2007,1/1/2007,-0.0849,-0.0849,3,1,650000,0,public_relations,0,1,0,0,0,0,1.0,0,0,1,1
CA,90034,Los Angeles,Geodelic Systems,0,1/1/2008,12/1/2008,9/23/2010,0.9178,2.7288,8,3,10500000,3,mobile,1,0,1,1,0,0,2.0,1,1,1,0
CA,90401,Santa Monica,BlockBeacon,1,1/1/2012,6/21/2012,6/21/2012,0.4712,0.4712,12,1,500000,2,web,0,1,0,0,0,0,1.0,0,0,1,1
CA,94041,Mountain View,PostPath,1,1/1/2003,12/7/2004,1/16/2007,1.9342,4.0438,2,2,24300000,3,web,0,0,0,1,1,0,2.5,1,1,0,0
CA,95054,Santa Clara,Attune Systems,0,1/1/1999,6/27/2006,11/14/2006,7.4904,7.874,6,2,18000000,1,hardware,1,0,0,1,0,0,4.0,1,1,1,0
CA,94107,San Francisco,TokBox,1,5/1/2007,12/26/2007,11/15/2010,0.6548,3.5452,27,3,26000000,5,messaging,0,0,1,1,1,0,3.6667,1,1,0,0
CA,94040,Mountain View,Avega Systems,0,1/1/2005,4/1/2007,1/13/2010,2.2466,5.0356,2,2,9500000,0,hardware,1,0,0,1,0,0,3.0,1,1,1,0
MD,Maryland 21045,Columbia,Heartscape,1,1/1/2000,4/24/2007,4/24/2007,7.3151,7.3151,6,1,16980999,1,biotech,0,0,0,1,0,0,1.0,1,1,0,0
CA,94043,Mountain View,PeerMe,0,1/1/2004,1/1/2005,1/1/2005,1.0027,1.0027,2,1,5000000,2,games_video,0,0,1,0,0,0,3.0,0,1,0,0
WA,99202,SPOKANE,Pacinian,0,4/1/2007,12/1/2008,12/1/2008,1.6712,1.6712,3,1,350000,0,hardware,1,0,0,0,0,0,1.0,0,0,1,1
MA,1803,Burlington,neoSaej,0,1/1/2006,3/29/2007,12/21/2010,1.2384,4.9726,1,5,13130000,1,web,1,0,1,0,0,0,2.0,1,1,1,0
WA,98104,Seattle,Kiha Software,0,1/1/2008,10/28/2010,10/28/2010,2.8247,2.8247,1,1,20000000,2,software,0,0,1,0,0,0,1.0,0,1,0,0
MA,2138,Cambridge,Vlingo,1,6/1/2006,12/1/2006,9/16/2009,0.5014,3.2959,18,3,26500000,4,mobile,1,0,1,1,0,0,2.0,1,1,1,0
MA,1754,Maynard,Tizor Systems,1,1/1/2002,9/12/2005,2/7/2006,3.6986,4.1041,4,2,15000000,0,enterprise,0,0,0,1,0,0,5.0,1,1,0,0
MD,21703,Frederick,Cerona Networks,0,1/1/2002,4/21/2006,4/21/2006,4.3041,4.3041,0,1,2600000,0,public_relations,0,0,1,0,0,0,1.0,0,1,0,0
CA,94538,Fremont,Oorja Protonics,0,1/1/2004,5/25/2006,1/11/2010,2.3973,6.0329,1,4,21470000,0,cleantech,0,0,1,1,0,0,3.5,1,1,0,0
TX,78701,Austin,Hurricane Party,0,5/1/2010,5/1/2010,5/1/2010,0.0,0.0,5,1,20000,2,mobile,0,1,0,0,0,0,1.0,0,0,1,1
CA,94085,Sunnyvale,Minekey,0,1/1/2005,12/1/2006,8/1/2007,1.9151,2.5808,10,2,3600000,3,web,0,1,1,0,0,0,1.0,0,1,1,0
NY,10012,New York,Blip,1,5/1/2005,3/1/2006,7/30/2012,0.8329,7.2521,23,7,27300000,4,games_video,0,1,1,1,1,1,2.0,1,1,1,0
CA,94105,San Francisco,Fabkids,1,1/1/2012,8/2/2012,8/2/2012,0.5863,0.5863,8,1,2600000,1,ecommerce,0,0,1,0,0,0,2.0,0,1,0,0
CA,94306,Palo Alto,CafeBots,0,1/1/2010,10/21/2010,10/21/2010,0.8027,0.8027,5,1,5000000,2,web,0,0,1,0,0,0,1.0,1,1,0,0
CA,92121,San Diego,Avaak,1,1/1/2004,10/3/2008,3/22/2010,4.7589,6.2247,2,2,17000000,2,mobile,0,0,1,1,0,0,3.5,1,1,0,0
ME,4095,West Newfield,Newfield Design,0,1/1/2008,5/14/2012,5/14/2012,4.3699,4.3699,0,1,662000,0,manufacturing,0,0,1,0,0,0,3.0,0,1,0,0
NY,10011,New York,Savored,1,1/1/2010,1/1/2010,1/10/2011,0.0,1.0247,12,2,3750000,2,hospitality,0,1,1,0,0,0,4.0,1,1,1,0
CA,94107,San Francisco,Digg,1,10/11/2004,10/1/2005,7/12/2011,0.9726,6.7534,57,4,45000000,8,news,0,0,1,1,1,1,4.6667,1,1,0,0
